Player Name,Player Website
Terrance Ferguson,http://www.espn.com/nba/player/_/id/4230546/terrance-ferguson
Josh Huestis,http://www.espn.com/nba/player/_/id/2531364/josh-huestis
Dakari Johnson,http://www.espn.com/nba/player/_/id/3064516/dakari-johnson
Evan Fournier,http://www.espn.com/nba/player/_/id/6588/evan-fournier
Aaron Gordon,http://www.espn.com/nba/player/_/id/3064290/aaron-gordon
Nikola Vucevic,http://www.espn.com/nba/player/_/id/6478/nikola-vucevic
Jonathon Simmons,http://www.espn.com/nba/player/_/id/2579466/jonathon-simmons
Elfrid Payton,http://www.espn.com/nba/player/_/id/2583639/elfrid-payton
D.J. Augustin,http://www.espn.com/nba/player/_/id/3415/d.j.-augustin
Mario Hezonja,http://www.espn.com/nba/player/_/id/2995706/mario-hezonja
Terrence Ross,http://www.espn.com/nba/player/_/id/6619/terrence-ross
Marreese Speights,http://www.espn.com/nba/player/_/id/3460/marreese-speights
Shelvin Mack,http://www.espn.com/nba/player/_/id/6454/shelvin-mack
Rodney Purvis,http://www.espn.com/nba/player/_/id/2982332/rodney-purvis
Bismack Biyombo,http://www.espn.com/nba/player/_/id/6427/bismack-biyombo
Jonathan Isaac,http://www.espn.com/nba/player/_/id/4065654/jonathan-isaac
Jamel Artis,http://www.espn.com/nba/player/_/id/3059276/jamel-artis
Khem Birch,http://www.espn.com/nba/player/_/id/2578240/khem-birch
Adreian Payne,http://www.espn.com/nba/player/_/id/2531100/adreian-payne
Wesley Iwundu,http://www.espn.com/nba/player/_/id/3074797/wesley-iwundu
Arron Afflalo,http://www.espn.com/nba/player/_/id/3187/arron-afflalo
Joel Embiid,http://www.espn.com/nba/player/_/id/3059318/joel-embiid
JJ Redick,http://www.espn.com/nba/player/_/id/3024/jj-redick
Dario Saric,http://www.espn.com/nba/player/_/id/3032978/dario-saric
Ben Simmons,http://www.espn.com/nba/player/_/id/3907387/ben-simmons
Robert Covington,http://www.espn.com/nba/player/_/id/2490620/robert-covington
